,ID,Download,Upload,Ping,time,date,datetime
0,1,13.18,24.3,26.407,01:29:29,2021-02-06,2021-02-06 01:29:29
1,2,17.38,27.99,5.546,01:29:51,2021-02-06,2021-02-06 01:29:51
2,3,17.79,25.78,5.528,01:30:13,2021-02-06,2021-02-06 01:30:13
3,4,18.51,24.78,5.593,01:30:35,2021-02-06,2021-02-06 01:30:35
4,5,18.43,25.85,4.661,01:30:57,2021-02-06,2021-02-06 01:30:57
5,6,19.37,24.53,5.912,01:31:19,2021-02-06,2021-02-06 01:31:19
6,7,17.3,25.32,5.052,01:31:40,2021-02-06,2021-02-06 01:31:40
7,8,18.0,24.97,4.639,01:32:02,2021-02-06,2021-02-06 01:32:02
8,9,16.96,26.26,4.551,01:32:23,2021-02-06,2021-02-06 01:32:23
9,10,17.43,24.49,6.735,01:32:45,2021-02-06,2021-02-06 01:32:45
10,11,16.51,24.91,6.348,01:33:06,2021-02-06,2021-02-06 01:33:06
